sample,fastq_1,fastq_2,antibody,control
rb_cr118_s1_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135140_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135140_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr118_s1_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135141_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135141_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr118_s1_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135142_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135142_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr118_s1_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135143_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135143_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr118_s1_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135144_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135144_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr118_s1_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135145_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135145_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr118_s1_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135146_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135146_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr118_s1_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135147_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135147_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr119_s2_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135148_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135148_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr119_s2_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135149_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135149_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
